,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area,price_list,price_list_url
2515,66258130,יונדאי, i25,42000.0,1591.0,2016,2,135000,7,02/2024,0,0.0,כסוף,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/25562/2016
2516,41149963,קיה, פיקנטו,42000.0,1248.0,2016,1,155850,7,01/2024,0,0.0,אדום,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/25607/2016
2517,42672723,טויוטה, BZ4X,260000.0,,2023,1,11000,2,12/2023,0,0.0,אפור,0,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/37447/2023
2518,88681356,הונדה, סיוויק האצ'בק החדשה,135000.0,1498.0,2021,1,37000,7,07/2024,0,0.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/30116/2021
2519,77519051,קיה, נירו הייבריד,104400.0,1580.0,2019,1,90100,7,06/2023,0,0.0,שחור,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/29359/2019
2520,66309604,טסלה, מודל 3,220000.0,,2021,1,47000,2,06/2024,0,,אפור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/35830/2021
2521,64642634,פיג'ו, 3008,,1598.0,2017,1,137000,7,10/2023,0,,כחול,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/27799/2017
2522,93578686,סקודה, ראפיד,49000.0,1395.0,2016,3,140000,7,10/2023,0,0.0,כסוף,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/27805/2016
2523,56212528,פיג'ו, 5008,,1499.0,2021,2,26300,6,06/2023,0,0.0,אפור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/32747/2021
2524,93777058,פיג'ו, 5008,111000.0,1598.0,2018,2,57000,7,01/2024,0,0.0,לבן,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/30592/2018
2525,47421930,מאזדה, 3,77000.0,1998.0,2017,2,159000,7,04/2024,0,0.0,אפור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/29125/2017
2526,42715009,מאזדה, 3,92000.0,1998.0,2018,3,77000,7,11/2023,0,0.0,שחור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/29125/2018
2527,66343611,סוזוקי, SX4,32500.0,1586.0,2010,2,85000,7,03/2024,0,0.0,תכלת,0,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/24382/2010
2528,78977287,יונדאי, i10,70000.0,1197.0,2021,2,30000,7,08/2023,0,1.0,אדום,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/34394/2021
2529,79946127,טויוטה, קורולה,56000.0,1598.0,2015,3,134000,7,02/2024,0,1.0,כסף,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/26737/2015
2530,64550239,פולקסווגן, ג'טה,15500.0,1595.0,2009,2,191000,7,11/2023,0,2.0,לבן,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/24209/2009
2531,41469454,מאזדה, MPV,18000.0,2967.0,2007,2,267000,7,06/2023,0,0.0,כסוף,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/23658/2007
2532,75246986,פיאט, 500,35500.0,1242.0,2015,1,108000,7,05/2023,0,0.0,לבן,3,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/25715/2015
2533,74515959,רנו, מגאן גראנד קופה,78000.0,1461.0,2020,1,112000,6,01/2024,0,0.0,שחור,0,0,41,נתיב העשרה,,https://www.yad2.co.il/price-list/sub-model/32707/2020
2534,79756571,בי.ווי.די / BYD, אטו 3 / ATTO 3,150000.0,,2023,1,18000,3,01/2026,0,0.0,אפור,0,0,41,ניצן ב',,https://www.yad2.co.il/price-list/sub-model/38321/2023
2535,97175887,מאזדה, 3,16900.0,1598.0,2010,3,215000,7,04/2024,0,0.0,טורקיז,0,0,41,אור הנר,,https://www.yad2.co.il/price-list/sub-model/24360/2010
2536,47773866,קיה, פיקנטו,50000.0,1197.0,2017,2,67700,7,05/2024,0,0.0,כסוף,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/29846/2017
2537,51588422,מרצדס, CLA,300000.0,1332.0,2021,2,30000,3,04/2023,0,0.0,כסוף,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/34646/2021
2538,51588422,מרצדס, CLA,300000,1332.0,2021,2,30000,3,04/2023,0,0,,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/34646/2021
2539,72979009,טסלה, מודל 3,169000,,2021,1,29000,2,05/2023,0,0,לבן,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/35537/2021
2540,45635852,ניסאן, מיקרה,32000,1198.0,2016,1,70000,7,09/2023,0,0,לבן,1,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/25751/2016
2541,51126139,רנו, קליאו דור 4 (2013-2019),55000,1197.0,2018,2,86000,7,03/2024,0,0,אפור,0,0,41,ניר גלים,,https://www.yad2.co.il/price-list/sub-model/30556/2018
2542,53986209,סיאט, איביזה,25900,1390.0,2013,4,109000,7,10/2023,0,0,ירוק,1,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/25031/2013
2543,48970571,ביואיק, לה קרוס,40000,2384.0,2012,2,119000,7,05/2024,0,0,לבן,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/25032/2012
2544,48066407,סקודה, סופרב (2019 ואילך),205000,1984.0,2020,1,50000,7,12/2023,0,0,שחור,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/33170/2020
2545,76053606,שברולט, ספארק,76000,1399.0,2020,1,33000,7,12/2023,0,0,שחור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/32282/2020
2546,72786608,טסלה, מודל 3,219000,,2021,2,45000,2,03/2024,0,0,אפור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/35367/2021
2547,86876586,קיה, נירו הייבריד,107000,1580.0,2019,2,42000,7,10/2023,0,1,שחור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/31206/2019
