,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,color,gearbox,trader,area,sub_area,price_list,price0705,enc_company,enc_model,price1605,sold,car_kind
133,95141448.0,ג'יפ / Jeep,גרנד צ'ירוקי,215000.0,3604.0,2020,1,53400,7,06/2023,0.0,0.0,0,0.0,0,2,חולון,220300.0,215000.0,16,9,210000.0,0,ג'יפים
134,72797898.0,טויוטה,לנד קרוזר ארוך,92000.0,2982.0,2005,2,435000,6,05/2023,0.0,0.0,9,0.0,0,2,בן שמן,90700.0,84000.0,0,12,83500.0,0,ג'יפים
135,49528578.0,יונדאי,טוסון,120000.0,1999.0,2018,3,43000,7,02/2024,0.0,0.0,0,0.0,0,2,ראשון לציון,112800.0,114000.0,1,1,115000.0,0,ג'יפים
136,67339888.0,ב.מ.וו,X4,140000.0,1997.0,2015,3,100000,7,02/2024,0.0,0.0,1,0.0,0,2,בת ים,149700.0,140000.0,9,175,140000.0,0,ג'יפים
138,61868583.0,קופרה,פורמנטור,181500.0,1498.0,2022,1,19202,7,04/2024,0.0,0.0,0,0.0,0,2,אור יהודה,176400.0,-1.0,33,94,-1.0,1,ג'יפים
139,71854890.0,קיה,ספורטז',114000.0,1999.0,2019,1,31000,7,05/2023,0.0,0.0,4,0.0,0,2,פתח תקווה,113200.0,-1.0,2,2,-1.0,1,משפחתיים
140,76963139.0,מיצובישי,אקליפס קרוס,120000.0,1499.0,2020,1,75000,7,05/2023,0.0,0.0,2,0.0,0,2,חולון,124100.0,112000.0,4,48,121000.0,0,משפחתיים
141,75081669.0,אאודי,Q5,179000.0,1984.0,2017,1,107000,7,10/2023,0.0,0.0,1,0.0,0,2,תל אביב יפו,188000.0,-1.0,10,78,-1.0,1,ג'יפים
142,86952827.0,מיצובישי,אקליפס קרוס,160000.0,1499.0,2021,1,9500,7,02/2024,0.0,0.0,0,0.0,0,2,פתח תקווה,134100.0,120000.0,4,48,140000.0,0,משפחתיים
143,97255918.0,סקודה,קודיאק,170000.0,1498.0,2021,1,42000,7,02/2024,0.0,0.0,0,0.0,0,2,תל אביב יפו,192000.0,-1.0,3,4,-1.0,1,מיניוואנים
144,58286035.0,פורד,אקספלורר,105000.0,3497.0,2014,3,160000,7,09/2023,0.0,0.0,0,0.0,0,2,אור יהודה,117600.0,-1.0,11,28,-1.0,1,ג'יפים
145,63517934.0,סוזוקי,ג'ימני,155000.0,1462.0,2021,1,17000,7,09/2024,0.0,0.0,1,0.0,0,2,תל אביב יפו,140000.0,-1.0,12,47,-1.0,1,ג'יפים
149,72890698.0,מרצדס,GLE קופה,349000.0,2987.0,2018,2,149000,6,04/2023,0.0,0.0,0,0.0,0,2,פתח תקווה,401400.0,379500.0,7,66,333000.0,0,ספורט
150,65550022.0,ג'יפ / Jeep,גרנד צ'ירוקי,99000.0,5700.0,2009,4,195000,7,12/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,-1.0,99000.0,16,9,100000.0,0,ג'יפים
151,72768030.0,אאודי,Q5,55000.0,1984.0,2010,2,170000,7,01/2024,0.0,0.0,0,0.0,0,2,ראשון לציון,54500.0,55000.0,10,78,55000.0,0,ג'יפים
152,77567253.0,סוזוקי,ויטרה,126000.0,1373.0,2021,1,20600,7,01/2024,0.0,0.0,1,0.0,0,2,פתח תקווה,126100.0,126000.0,12,36,120000.0,0,משפחתיים
153,42862808.0,מיצובישי,ASX,142000.0,1998.0,2022,1,1450,7,11/2024,0.0,0.0,1,0.0,0,2,רמת גן,146400.0,-1.0,4,77,-1.0,1,משפחתיים
154,55525100.0,אאודי,Q3,135000.0,1395.0,2019,2,57000,7,12/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,149700.0,99999.0,10,21,-1.0,1,ג'יפים
155,89657892.0,מרצדס,GLA,315000.0,1332.0,2022,1,16000,3,08/2023,0.0,0.0,2,0.0,0,2,אזור,340500.0,315000.0,7,141,249900.0,0,ג'יפים
156,65743642.0,ניסאן,אקס טרייל,110000.0,1598.0,2017,1,99000,6,07/2023,0.0,0.0,2,0.0,0,2,פתח תקווה,108700.0,-1.0,5,8,-1.0,1,מיניוואנים
157,93875794.0,מאזדה,CX-5,117000.0,1998.0,2018,1,133000,7,06/2023,0.0,0.0,1,0.0,0,2,מודיעין מכבים רעות,113300.0,117000.0,6,7,128000.0,0,ג'יפים
158,82913097.0,פורשה,מקאן,365000.0,2997.0,2018,3,113000,7,01/2024,0.0,0.0,0,0.0,0,2,רמת גן,253800.0,265000.0,32,299,300000.0,0,ג'יפים
160,96360271.0,מרצדס,ML Class,125000.0,3498.0,2014,2,160000,7,01/2024,0.0,0.0,1,0.0,0,2,תל אביב יפו,134600.0,125000.0,7,162,125000.0,0,ג'יפים
161,47536929.0,קיה,ספורטז',113000.0,1598.0,2020,1,51500,6,02/2024,0.0,0.0,4,0.0,0,2,רמת גן,110900.0,119500.0,2,2,-1.0,1,משפחתיים
162,52456166.0,קיה,ספורטז',88000.0,1999.0,2016,2,75000,7,06/2023,0.0,0.0,0,0.0,0,2,ראש העין,90700.0,88000.0,2,2,77000.0,0,משפחתיים
163,95967901.0,מיצובישי,אאוטלנדר,160000.0,2488.0,2021,1,45000,7,07/2024,0.0,0.0,0,0.0,0,2,תל אביב יפו,158600.0,-1.0,4,0,-1.0,1,ג'יפים
164,76560479.0,ב.מ.וו,X1,139000.0,1499.0,2017,2,48000,7,07/2023,0.0,0.0,1,0.0,0,2,גני תקווה,121300.0,139000.0,9,81,108000.0,0,יוקרה
165,41184378.0,יונדאי,קונה,96000.0,1580.0,2020,1,98700,7,06/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,116100.0,-1.0,1,98,-1.0,1,משפחתיים
166,75503460.0,לקסוס,NX,175000.0,2494.0,2017,1,72500,7,08/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,158500.0,153000.0,25,134,153000.0,0,ג'יפים
167,75533733.0,קיה,ספורטז',148000.0,1598.0,2021,1,6400,7,09/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,142700.0,-1.0,2,2,-1.0,1,משפחתיים
168,52033303.0,אאודי,Q3,215000.0,1984.0,2020,2,30000,7,12/2023,0.0,0.0,0,0.0,0,2,רמלה,189200.0,-1.0,10,21,-1.0,1,ג'יפים
170,74620232.0,קיה,ספורטז',119000.0,1999.0,2018,1,30000,7,05/2023,0.0,0.0,0,0.0,0,2,חולון,105000.0,110000.0,2,2,-1.0,1,משפחתיים
171,88624916.0,מיצובישי,אאוטלנדר,70000.0,1998.0,2016,3,140000,7,02/2024,0.0,0.0,0,0.0,0,2,קרית אונו,92800.0,65000.0,4,0,-1.0,1,ג'יפים
172,68756813.0,ג'נסיס,GV80,390000.0,2996.0,2022,2,8000,6,01/2024,0.0,0.0,0,0.0,0,2,באר יעקב,434200.0,490000.0,38,315,510000.0,0,ג'יפים
173,87361768.0,סקודה,קודיאק,129000.0,1968.0,2017,2,143000,6,10/2023,0.0,0.0,8,0.0,0,2,ראשון לציון,144700.0,146000.0,3,4,146000.0,0,מיניוואנים
174,48490388.0,ג'יפ / Jeep,גרנד צ'ירוקי,299900.0,3604.0,2022,1,8500,7,06/2023,0.0,0.0,1,0.0,0,2,פתח תקווה,317500.0,299900.0,16,9,418000.0,0,ג'יפים
175,71814091.0,סוזוקי,ג'ימני,42000.0,1328.0,2008,5,159000,7,03/2024,0.0,0.0,7,0.0,0,2,רמת גן,40600.0,-1.0,12,47,-1.0,1,ג'יפים
176,86523847.0,ניסאן,אקס טרייל,85000.0,1598.0,2016,1,170000,6,11/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,98700.0,-1.0,5,8,-1.0,1,מיניוואנים
177,69284522.0,וולוו,XC60,280000.0,1969.0,2019,1,46847,3,04/2023,0.0,0.0,2,0.0,0,2,תל אביב יפו,263800.0,-1.0,22,32,-1.0,1,ג'יפים
178,76358046.0,מיצובישי,אאוטלנדר,105000.0,1998.0,2016,2,69200,7,08/2023,0.0,0.0,2,0.0,0,2,תל אביב יפו,105400.0,115000.0,4,0,98000.0,0,ג'יפים
179,94225078.0,שברולט,טראוורס,137000.0,3564.0,2018,2,55000,7,05/2023,0.0,2.0,3,0.0,0,2,בני ברק,166100.0,212000.0,8,33,176654.0,0,מיניוואנים
180,65867366.0,קיה,סורנטו,70000.0,2359.0,2014,4,166500,7,08/2023,0.0,0.0,1,0.0,0,2,בני ברק,70300.0,75000.0,2,91,70900.0,0,מיניוואנים
183,43083282.0,סקודה,קודיאק,193850.0,1968.0,2020,1,45000,6,02/2024,0.0,2.0,2,0.0,0,2,ראשון לציון,198800.0,160000.0,3,4,172000.0,0,מיניוואנים
185,62063719.0,פולקסווגן,טיגואן,110000.0,1395.0,2017,1,52000,7,05/2023,0.0,2.0,0,0.0,0,2,רמת גן,110300.0,110000.0,13,56,112000.0,0,ג'יפים
186,52610203.0,יונדאי,טוסון,178000.0,1598.0,2022,1,10400,7,06/2023,0.0,2.0,10,0.0,0,2,פתח תקווה,184000.0,-1.0,1,1,-1.0,1,ג'יפים
187,73529407.0,ניסאן,קשקאי,119000.0,1461.0,2021,1,70000,6,03/2024,0.0,2.0,10,0.0,0,2,מודיעין מכבים רעות,131400.0,-1.0,5,3,-1.0,1,משפחתיים
189,43841270.0,שברולט,טראוורס,198000.0,3564.0,2019,2,40000,7,11/2024,0.0,0.0,2,0.0,0,2,חולון,206400.0,-1.0,8,33,-1.0,1,מיניוואנים
190,72613240.0,אאודי,Q3,217000.0,1498.0,2021,1,21000,7,05/2023,0.0,0.0,0,0.0,0,2,ראשון לציון,217500.0,132000.0,10,21,227000.0,0,ג'יפים
191,86502850.0,קאדילק,XT5,202000.0,3649.0,2019,1,56400,7,02/2024,0.0,0.0,7,0.0,0,2,רמת גן,192500.0,202000.0,31,84,204900.0,0,ג'יפים
192,98690900.0,לקסוס,NX,221500.0,2494.0,2020,2,62000,7,02/2024,0.0,0.0,0,0.0,0,2,בת ים,206900.0,221500.0,25,134,199900.0,0,ג'יפים
193,85965694.0,סקודה,אניאק,220000.0,0.0,2023,1,2000,2,02/2024,0.0,0.0,3,0.0,0,2,מודיעין מכבים רעות,227800.0,230000.0,3,153,-1.0,1,משפחתיים
194,69003219.0,יונדאי,טוסון,80000.0,1999.0,2016,4,158000,7,11/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,91600.0,95000.0,1,1,84900.0,0,ג'יפים
195,61279725.0,ב.מ.וו,X1,198000.0,1998.0,2019,1,33000,7,01/2024,0.0,0.0,3,0.0,0,2,אזור,174800.0,198000.0,9,81,187000.0,0,יוקרה
196,76526233.0,יונדאי,טוסון,140000.0,1999.0,2020,2,50000,7,02/2024,0.0,0.0,0,0.0,0,2,רמלה,147200.0,-1.0,1,1,-1.0,1,ג'יפים
197,96286827.0,רנו,קדגא'ר,79000.0,1461.0,2016,2,117000,6,12/2023,0.0,0.0,9,0.0,0,2,פתח תקווה,62700.0,79000.0,19,176,57900.0,0,משפחתיים
198,57768714.0,קיה,ספורטז',56000.0,1591.0,2015,1,135500,7,04/2024,0.0,9.0,0,0.0,0,2,בני ברק,65300.0,61000.0,2,2,-1.0,1,משפחתיים
199,43161077.0,יונדאי,טוסון,102000.0,1999.0,2018,1,80000,7,04/2024,0.0,9.0,0,0.0,0,2,גבעתיים,104800.0,119500.0,1,1,109000.0,0,ג'יפים
200,77063092.0,מרצדס,GLE,210000.0,2987.0,2016,2,91000,6,02/2024,0.0,0.0,0,0.0,0,2,חולון,232500.0,210000.0,7,110,209000.0,0,ג'יפים
202,76286157.0,ג'יפ / Jeep,רנגלר קצר,195000.0,3604.0,2015,1,55000,7,05/2024,0.0,0.0,1,0.0,0,2,תל אביב יפו,182800.0,195000.0,16,177,195000.0,0,ג'יפים
