,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
165,77348329,יונדאי,קונה,126000.0,1580,2020,1,13000,7,07/2023,0,0.0,לבן,0,0,2,תל אביב יפו
166,55670284,שברולט,טרייל,145000.0,1341,2022,1,17000,7,01/2024,0,0.0,שחור,0,0,2,רמלה
167,93516523,וולוו,XC60,250000.0,1969,2022,2,30000,7,01/2024,0,0.0,אפור,0,0,2,פתח תקווה
168,75343227,סוזוקי,ויטרה,67000.0,1586,2016,1,190000,7,04/2023,0,0.0,שחור,0,0,2,תל אביב יפו
169,68202572,קיה,ספורטז',,1591,2020,1,26000,7,07/2023,0,0.0,כסוף,0,0,2,תל אביב יפו
170,57152729,יונדאי,טוסון,91000.0,1591,2017,1,61500,7,10/2024,0,0.0,אפור,0,0,2,תל אביב יפו
171,84143643,ניסאן,קשקאי,42500.0,1997,2013,2,152353,7,04/2024,0,1.0,אפור,0,0,2,רמת גן
172,98690900,לקסוס,NX,229000.0,2494,2020,2,62000,7,02/2024,0,0.0,לבן,0,0,2,בת ים
173,95141448,ג'יפ,/,215000.0,3604,2020,1,53400,7,06/2023,0,0.0,לבן,0,0,2,חולון
174,53782929,יונדאי,iX35,71000.0,1999,2015,3,120000,7,01/2024,0,0.0,אפור,0,0,2,טירת יהודה
175,56060938,קיה,ספורטז',99000.0,1598,2020,1,108000,6,01/2024,0,0.0,לבן,0,0,2,תל אביב יפו
176,89756906,פיג'ו,2008,54000.0,1199,2019,2,147000,7,01/2024,0,1.0,לבן,0,0,2,תל אביב יפו
177,48011449,מרצדס,GLC-Class,480000.0,1991,2023,1,1000,3,02/2026,0,1.0,שחור,0,0,2,ראשון לציון
178,96286827,רנו,קדגא'ר,79000.0,1461,2016,2,117000,6,12/2023,0,0.0,חום,0,0,2,פתח תקווה
179,61154872,ב.מ.וו,X1,135000.0,1998,2017,3,78000,7,02/2024,0,0.0,לבן,0,0,2,תל אביב יפו
180,55744472,פולקסווגן,טיגואן,115000.0,1984.0,2017,1,62000,7,10/2024,0,,אפור,0,0,2,תל אביב יפו
181,94371574,טויוטה,RAV4,182000.0,2487.0,2020,1,68000,7,02/2024,0,,לבן,0,0,2,תל אביב יפו
182,51388360,יונדאי,טוסון,108000.0,1999.0,2017,1,93000,7,12/2023,0,,לבן,0,0,2,ראשון לציון
183,86642729,אאודי,E-tron,360000.0,,2020,1,26500,2,12/2023,0,,אפור,0,0,2,תל אביב יפו
184,87361768,סקודה,קודיאק,150000.0,1968.0,2017,2,143000,6,10/2023,0,0.0,בז',0,0,2,ראשון לציון
185,52610203,יונדאי,טוסון,178000.0,1598.0,2022,1,10400,7,06/2023,0,0.0,ירוק,0,0,2,פתח תקווה
186,95430059,מיצובישי,אאוטלנדר,120000.0,1998.0,2017,1,101000,7,10/2023,0,0.0,שחור,0,0,2,מודיעין מכבים רעות
187,44872289,מיצובישי,אאוטלנדר,103000.0,1998.0,2015,1,101000,3,05/2024,0,0.0,שחור,0,0,2,מודיעין מכבים רעות
188,86636569,ניסאן,אקס,78500.0,1598.0,2016,1,147000,6,09/2023,0,0.0,כחול,0,0,2,תל אביב יפו
189,97697062,מרצדס,GLE,589000.0,1991.0,2021,2,40000,3,04/2023,0,0.0,לבן,0,0,2,חולון
190,81963477,סקודה,קודיאק,179000.0,1968.0,2019,1,59000,6,01/2024,0,0.0,אפור,0,0,2,קרית אונו
